lineup_ids,lineup_names,MINUTES
202391-203145-203458-1627752-1629027,J. Lin-K. Bazemore-A. Len-T. Prince-T. Young,5.0
202391-203101-1627761-1627816-1628989,J. Lin-M. Plumlee-D. Bembry-A. Poythress-K. Huerter,5.0
202391-203101-1627761-1628381-1628989,J. Lin-M. Plumlee-D. Bembry-J. Collins-K. Huerter,5.0
202391-203101-203473-1627761-1628989,J. Lin-M. Plumlee-D. Dedmon-D. Bembry-K. Huerter,5.0
202391-203101-203145-1627816-1628989,J. Lin-M. Plumlee-K. Bazemore-A. Poythress-K. Huerter,5.0
202391-203101-1627752-1627761-1627816,J. Lin-M. Plumlee-T. Prince-D. Bembry-A. Poythress,5.0
202391-1627752-1628381-1628989-1629016,J. Lin-T. Prince-J. Collins-K. Huerter-O. Spellman,5.0
203145-203458-1627761-1628381-1628989,K. Bazemore-A. Len-D. Bembry-J. Collins-K. Huerter,5.0
203145-203458-1627761-1629016-1629121,K. Bazemore-A. Len-D. Bembry-O. Spellman-J. Adams,5.0
203145-203473-1627761-1628989-1629016,K. Bazemore-D. Dedmon-D. Bembry-K. Huerter-O. Spellman,5.0
203145-203473-1628381-1628416-1629027,K. Bazemore-D. Dedmon-J. Collins-T. Dorsey-T. Young,5.0
1713-203458-1627772-1628989-1629027,V. Carter-A. Len-D. Hamilton-K. Huerter-T. Young,5.0
1713-1627761-1628381-1628989-1629121,V. Carter-D. Bembry-J. Collins-K. Huerter-J. Adams,5.0
1713-202391-203458-1626147-1627772,V. Carter-J. Lin-A. Len-J. Anderson-D. Hamilton,5.0
1713-202391-203473-1627761-1628416,V. Carter-J. Lin-D. Dedmon-D. Bembry-T. Dorsey,5.0
1713-203145-1627761-1628381-1628989,V. Carter-K. Bazemore-D. Bembry-J. Collins-K. Huerter,5.0
1713-203145-1627761-1629016-1629027,V. Carter-K. Bazemore-D. Bembry-O. Spellman-T. Young,5.0
1713-203145-203473-1627752-1627761,V. Carter-K. Bazemore-D. Dedmon-T. Prince-D. Bembry,5.0
1713-203145-1628416-1629016-1629027,V. Carter-K. Bazemore-T. Dorsey-O. Spellman-T. Young,5.0
1713-203092-203145-1627761-1629121,V. Carter-T. Zeller-K. Bazemore-D. Bembry-J. Adams,5.0
203458-1627761-1627816-1628416-1629027,A. Len-D. Bembry-A. Poythress-T. Dorsey-T. Young,4.0
203458-1627761-1627772-1628381-1629027,A. Len-D. Bembry-D. Hamilton-J. Collins-T. Young,4.0
203458-1627738-1627752-1627761-1629027,A. Len-D. Davis-T. Prince-D. Bembry-T. Young,4.0
203458-203473-1627761-1628989-1629027,A. Len-D. Dedmon-D. Bembry-K. Huerter-T. Young,4.0
203458-1626147-1627772-1628416-1629016,A. Len-J. Anderson-D. Hamilton-T. Dorsey-O. Spellman,4.0
203458-1626147-1628416-1628989-1629016,A. Len-J. Anderson-T. Dorsey-K. Huerter-O. Spellman,4.0
203458-1627752-1627761-1627816-1629027,A. Len-T. Prince-D. Bembry-A. Poythress-T. Young,4.0
1627816-1628416-1628989-1629016-1629027,A. Poythress-T. Dorsey-K. Huerter-O. Spellman-T. Young,4.0
1627761-1627816-1628989-1629016-1629027,D. Bembry-A. Poythress-K. Huerter-O. Spellman-T. Young,4.0
203473-1627761-1627816-1629121-1629168,D. Dedmon-D. Bembry-A. Poythress-J. Adams-B. Johnson,4.0
203473-1627761-1627816-1628989-1629027,D. Dedmon-D. Bembry-A. Poythress-K. Huerter-T. Young,4.0
203473-1626147-1627761-1627816-1628989,D. Dedmon-J. Anderson-D. Bembry-A. Poythress-K. Huerter,4.0
203473-1626147-1628989-1629016-1629027,D. Dedmon-J. Anderson-K. Huerter-O. Spellman-T. Young,4.0
202391-203458-1627772-1628381-1628416,J. Lin-A. Len-D. Hamilton-J. Collins-T. Dorsey,4.0
202391-203458-1627772-1628416-1629016,J. Lin-A. Len-D. Hamilton-T. Dorsey-O. Spellman,4.0
202391-203458-1627752-1627761-1627816,J. Lin-A. Len-T. Prince-D. Bembry-A. Poythress,4.0
202391-203473-1627761-1627772-1628381,J. Lin-D. Dedmon-D. Bembry-D. Hamilton-J. Collins,4.0
202391-203473-1626147-1628381-1628989,J. Lin-D. Dedmon-J. Anderson-J. Collins-K. Huerter,4.0
202391-203473-1627752-1628381-1628989,J. Lin-D. Dedmon-T. Prince-J. Collins-K. Huerter,4.0
202391-203473-1627752-1628381-1629027,J. Lin-D. Dedmon-T. Prince-J. Collins-T. Young,4.0
202391-1628381-1628989-1629016-1629027,J. Lin-J. Collins-K. Huerter-O. Spellman-T. Young,4.0
202391-203145-203458-1627752-1629016,J. Lin-K. Bazemore-A. Len-T. Prince-O. Spellman,4.0
202391-203145-1627761-1628381-1629016,J. Lin-K. Bazemore-D. Bembry-J. Collins-O. Spellman,4.0
202391-203101-1627761-1628416-1629016,J. Lin-M. Plumlee-D. Bembry-T. Dorsey-O. Spellman,4.0
202391-203101-1626147-1627761-1629016,J. Lin-M. Plumlee-J. Anderson-D. Bembry-O. Spellman,4.0
202391-1627752-1627816-1628989-1629016,J. Lin-T. Prince-A. Poythress-K. Huerter-O. Spellman,4.0
203145-203458-1627816-1629121-1629168,K. Bazemore-A. Len-A. Poythress-J. Adams-B. Johnson,4.0
203145-203458-1627761-1628989-1629027,K. Bazemore-A. Len-D. Bembry-K. Huerter-T. Young,4.0
203145-203458-203473-1627761-1629027,K. Bazemore-A. Len-D. Dedmon-D. Bembry-T. Young,4.0
203145-203458-1627752-1627761-1629121,K. Bazemore-A. Len-T. Prince-D. Bembry-J. Adams,4.0
203145-1627816-1628989-1629016-1629027,K. Bazemore-A. Poythress-K. Huerter-O. Spellman-T. Young,4.0
203145-1627761-1628381-1628989-1629016,K. Bazemore-D. Bembry-J. Collins-K. Huerter-O. Spellman,4.0
203145-1627738-1627761-1628381-1629027,K. Bazemore-D. Davis-D. Bembry-J. Collins-T. Young,4.0
203145-203473-1627761-1628381-1629121,K. Bazemore-D. Dedmon-D. Bembry-J. Collins-J. Adams,4.0
203101-1626147-1627761-1627772-1628989,M. Plumlee-J. Anderson-D. Bembry-D. Hamilton-K. Huerter,4.0
203101-1628381-1628416-1628989-1629027,M. Plumlee-J. Collins-T. Dorsey-K. Huerter-T. Young,4.0
203101-1627752-1627761-1627816-1629027,M. Plumlee-T. Prince-D. Bembry-A. Poythress-T. Young,4.0
203092-1626147-1627761-1629121-1629168,T. Zeller-J. Anderson-D. Bembry-J. Adams-B. Johnson,4.0
1713-203458-1627752-1627761-1629121,V. Carter-A. Len-T. Prince-D. Bembry-J. Adams,4.0
1713-203458-1627752-1627761-1628989,V. Carter-A. Len-T. Prince-D. Bembry-K. Huerter,4.0
1713-1627761-1627816-1628989-1629121,V. Carter-D. Bembry-A. Poythress-K. Huerter-J. Adams,4.0
1713-1627761-1628381-1629121-1629353,V. Carter-D. Bembry-J. Collins-J. Adams-I. Humphries,4.0
1713-1627761-1628381-1629016-1629027,V. Carter-D. Bembry-J. Collins-O. Spellman-T. Young,4.0
1713-1627761-1628381-1628416-1628989,V. Carter-D. Bembry-J. Collins-T. Dorsey-K. Huerter,4.0
1713-203473-1627752-1627761-1629121,V. Carter-D. Dedmon-T. Prince-D. Bembry-J. Adams,4.0
1713-1626147-1627761-1629016-1629027,V. Carter-J. Anderson-D. Bembry-O. Spellman-T. Young,4.0
1713-1626147-1627738-1628989-1629027,V. Carter-J. Anderson-D. Davis-K. Huerter-T. Young,4.0
